Date,Open,High,Low,Close,Adj Close,Volume
7/27/2020,1505,1540.890015,1454,1487.949951,1487.949951,7509300
8/3/2020,1491,1520.089966,1464.030029,1498.369995,1498.369995,8642600
8/10/2020,1490.800049,1536.969971,1477.48999,1504.630005,1504.630005,5924300
8/17/2020,1515.969971,1591.880005,1505,1575.569946,1575.569946,7003000
8/24/2020,1592.469971,1652.790039,1575.040039,1639.430054,1639.430054,7837200
8/31/2020,1643.569946,1726.099976,1537.969971,1581.209961,1581.209961,10908600
9/7/2020,1525,1573.660034,1493.02002,1515.76001,1515.76001,7850200
9/14/2020,1531.650024,1557,1431.619995,1451.089966,1451.089966,9544700
9/21/2020,1431.619995,1463.969971,1402.150024,1439.060059,1439.060059,9673100
9/28/2020,1471.98999,1495.069946,1446.280029,1455.599976,1455.599976,8381500
10/5/2020,1462.650024,1511.849976,1433.22998,1510.449951,1510.449951,7142400
10/12/2020,1538,1588.420044,1529.300049,1567.699951,1567.699951,9649700
10/19/2020,1575.930054,1634.119995,1520.5,1632.97998,1632.97998,9639300
10/26/2020,1615,1681.319946,1508.47998,1616.109985,1616.109985,13109300
11/2/2020,1623.540039,1791.819946,1612.109985,1759.72998,1759.72998,10769100
11/9/2020,1795.97998,1816.890015,1716.119995,1772.26001,1772.26001,9225900
11/16/2020,1764.140015,1794.339966,1730.02002,1736.380005,1736.380005,5734500
11/23/2020,1740.219971,1797.01001,1710.180054,1787.02002,1787.02002,4245200
11/30/2020,1775.650024,1843.829956,1747.839966,1823.76001,1823.76001,7223200
12/7/2020,1815.550049,1829.290039,1733.530029,1774.800049,1774.800049,6063400
12/14/2020,1770.719971,1789.800049,1715,1726.219971,1726.219971,9960700
12/21/2020,1709.130005,1744.109985,1694,1734.160034,1734.160034,4331500
12/28/2020,1744.910034,1788.469971,1728,1752.640015,1752.640015,4473600
1/4/2021,1760,1799.359985,1696.099976,1797.829956,1797.829956,9084600
1/11/2021,1777.02002,1784.380005,1711.709961,1727.619995,1727.619995,7420600
1/18/2021,1743,1932.079956,1732.829956,1892.560059,1892.560059,9859500
1/25/2021,1912.73999,1921.819946,1797.280029,1827.359985,1827.359985,13218400
2/1/2021,1844.589966,2106.620117,1844.589966,2088.830078,2088.830078,14146400
2/8/2021,2100,2115,2052.23999,2095.030029,2095.030029,5764600
2/15/2021,2091.75,2145.139893,2083.429932,2088.810059,2088.810059,5589100
2/22/2021,2053.600098,2088.320068,1990.22998,2021.910034,2021.910034,8416100
3/1/2021,2048,2106.199951,1994,2097.070068,2097.070068,9391600
3/8/2021,2084.060059,2113.73999,2005.189941,2050,2050,7970400
3/15/2021,2044.97998,2113.679932,2002.930054,2026.959961,2026.959961,8111100
3/22/2021,2027.630005,2067.600098,1996.089966,2024.72998,2024.72998,7542900
3/29/2021,2022.160034,2135.75,2005.449951,2129.780029,2129.780029,6812700
4/5/2021,2147.149902,2273.969971,2145.209961,2270.669922,2270.669922,8134700
4/12/2021,2254.120117,2296,2227.820068,2282.75,2282.75,6358200
4/19/2021,2270.179932,2306.120117,2240.320068,2299.929932,2299.929932,6449700
4/26/2021,2304.52002,2431.379883,2286.159912,2353.5,2353.5,12181000
5/3/2021,2364.909912,2381.550049,2256.679932,2351.929932,2351.929932,7689200
5/10/2021,2328.139893,2331,2193.620117,2278.379883,2278.379883,8833800
5/17/2021,2263.570068,2318.889893,2225.439941,2294.129883,2294.129883,7023500
5/24/2021,2314.889893,2389.050049,2311.959961,2356.850098,2356.850098,6627500
5/31/2021,2374.439941,2399.030029,2329.52002,2393.570068,2393.570068,4383300
6/7/2021,2389.439941,2441.719971,2381,2430.199951,2430.199951,5708200
6/14/2021,2432.26001,2455.51001,2389.399902,2402.219971,2402.219971,7104500
6/21/2021,2410.01001,2461.909912,2397.969971,2450.169922,2450.169922,6245400
6/28/2021,2453.570068,2508.080078,2427.090088,2505.149902,2505.149902,6010000
7/5/2021,2512.969971,2545.679932,2480.439941,2510.370117,2510.370117,4643700
7/12/2021,2523.560059,2586.530029,2512.219971,2539.399902,2539.399902,5264000
7/19/2021,2521.790039,2667.97998,2470.100098,2660.300049,2660.300049,6538600
7/26/2021,2666.570068,2765.939941,2602.080078,2721.879883,2721.879883,8996100
8/2/2021,2723,2733.220215,2713.826416,2729.610107,2729.610107,560690
